review,aspect,label
"I had a problem with my ticket, and the staff were unhelpful and dismissive. They didn't even try to assist me.",Handling complaints,7
"The overall experience at the station was unsatisfactory. The facilities were outdated, the staff were rude, and the trains were crowded.",Satisfactions,8
"The station was filthy! Trash everywhere, and the toilets were disgusting. I wouldn't recommend this station to anyone.",Cleanliness,2
"My train was delayed for over an hour with no explanation. It was very frustrating, especially because I had a connecting flight to catch.",Punctuality,3
"I lost my ticket, and the staff were unhelpful and refused to assist me. I had to buy a new ticket, which was very expensive.",Handling complaints,7
"The station was incredibly crowded, and it was hard to find a seat. There wasn't enough space for everyone to comfortably wait for their train.",Satisfactions,8
"I felt unsafe walking around the station at night. There were some shady characters hanging around, and it just didn't feel secure.",Safety,10
The ticket prices were ridiculous! It cost me way more than I expected for a short journey. It's just too expensive.,Price,0
"The station layout was confusing and difficult to navigate. I couldn't find my platform, and there were no clear signs.",Data availability,1
"There wasn't enough information about train times and schedules. It was difficult to plan my journey, and I missed my train.",Data availability,1
"The station looked run down and neglected. The floors were cracked, and the paint was peeling off the walls. It wasn't very inviting.",Maintenance,6
"Overall, my experience at the station was unpleasant. The staff were unfriendly, and the facilities were in bad shape. I wouldn't want to go back.",Satisfactions,8
"The payment system was confusing, and it took a long time to buy my ticket. I had to use cash, which was inconvenient.",User-friendly payment system,9
I've heard about many accidents happening at this station. It makes me worry about my safety when I'm there.,Accidents,5
The staff were rude and unhelpful. They didn't seem to care about the passengers' needs.,Handling complaints,7
The seats were uncomfortable and cramped. I couldn't relax while I was waiting for my train.,Satisfactions,8
"The toilets were disgusting! They were dirty, and there was no toilet paper. I had to find another place to use the bathroom.",Cleanliness,2
"There wasn't enough security at the station. I felt uncomfortable walking around, especially at night.",Safety,10
"I needed help finding my platform, but the staff were unhelpful and didn't offer any assistance. I ended up missing my train.",Handling complaints,7
"I had to wait for a long time for my train. It was frustrating, especially because I was running late.",Punctuality,3
"There was a bad smell in the station. It wasn't pleasant to be around, and it made me feel uncomfortable.",Cleanliness,2
"The station was extremely noisy. It was hard to concentrate, and it made it difficult to relax.",Satisfactions,8
"The station wasn't accessible for people with disabilities. There were no ramps or lifts, and it was difficult to get around.",Maintenance,6
"The floors in the station were dirty and sticky. It wasn't pleasant to walk around, and it made me worry about germs.",Cleanliness,2
"I couldn't find any information about train schedules or delays. It was difficult to plan my trip, and I ended up being late.",Data availability,1
"As a woman, I didn't feel safe walking around the station at night. There weren't enough security guards, and I was worried about being harassed.",Safety,10
"The lighting in the station was terrible. It was dark and gloomy, and it made me feel uneasy.",Maintenance,6
"The signs in the station were confusing and difficult to follow. I couldn't find my platform, and I had to ask for help.",Data availability,1
"The atmosphere in the station was unpleasant. It was noisy, crowded, and dirty. I didn't feel comfortable being there.",Satisfactions,8
"There was no Wi-Fi at the station, which was inconvenient. I couldn't check my emails or browse the internet while I was waiting for my train.",Data availability,1
"The platforms were overcrowded, and it was difficult to get on the train. It was a chaotic experience, and I was worried about getting hurt.",Satisfactions,8
"I tried to get help from the staff, but they were unresponsive and unhelpful. I had to figure out everything on my own.",Handling complaints,7
"The staff were rude and unhelpful. They didn't seem to care about the passengers' needs, and they made me feel unwelcome.",Handling complaints,7
"The seating areas were dirty and unkempt. There was trash everywhere, and the seats were stained. It wasn't a pleasant place to wait.",Cleanliness,2
"The announcements in the station were very noisy and hard to understand. It was difficult to know what was going on, and it made me feel stressed.",Data availability,1
"There weren't enough restrooms at the station. I had to wait in a long line, and it was difficult to find a clean bathroom.",Cleanliness,2
"I wouldn't recommend this station for families with young children. There weren't any designated areas for kids, and it felt unsafe for them to run around.",Safety,10
"The ticket purchasing process was confusing. I couldn't figure out how to buy a ticket, and I had to ask for help.",User-friendly payment system,9
"The lighting in the station was dim and inadequate. It was difficult to see where I was going, and it made me feel unsafe.",Maintenance,6
"The station felt disorganized and chaotic. It was difficult to find my platform, and there were no clear announcements.",Data availability,1
I couldn't find any customer service representatives to help me with my issue. I had to figure everything out on my own.,Handling complaints,7
"The restrooms were dirty and unhygienic. They were smelly, and there was no toilet paper. It was a disgusting experience.",Cleanliness,2
"There wasn't enough information available about train schedules or delays. It was difficult to plan my trip, and I missed my train.",Data availability,1
"There weren't enough seats at the station. I had to stand for a long time, and it was very uncomfortable.",Satisfactions,8
"The staff were unfriendly and unhelpful. They didn't seem to care about the passengers' needs, and they made me feel unwelcome.",Handling complaints,7
"There wasn't enough security at the station. I felt uncomfortable walking around, and I was worried about being robbed.",Safety,10
"The station was dirty and unkempt. There was trash everywhere, and the floors were sticky. It was a very unpleasant experience.",Cleanliness,2
"There was no Wi-Fi at the station, which was a major inconvenience. I couldn't check my emails or browse the internet while I was waiting for my train.",Data availability,1
"The station wasn't accessible for people with disabilities. There were no ramps or lifts, and it was difficult to navigate.",Maintenance,6
"I had to wait for a long time for my train. It was frustrating, and I missed my connecting flight.",Punctuality,3
"The layout of the station was confusing, and I couldn't find my platform. It was a stressful experience, and I almost missed my train.",Data availability,1
"The station was extremely noisy, and it was difficult to relax. It was hard to concentrate, and it made me feel stressed.",Satisfactions,8
"The atmosphere in the station was unpleasant. It felt dirty and unsafe, and I didn't feel comfortable being there.",Satisfactions,8
"The station looked run down and neglected. The paint was peeling off the walls, and the floors were cracked. It wasn't very inviting.",Maintenance,6
"The train schedule was unreliable. My train was delayed, and there weren't any announcements or updates.",Punctuality,3
I couldn't find any customer service representatives to help me with my issue. I had to figure everything out on my own.,Handling complaints,7
"The station was filthy! There was trash everywhere, and it smelled bad. It was a very unpleasant experience.",Cleanliness,2
"As a woman, I didn't feel safe walking around the station at night. There weren't enough security guards, and I was worried about being harassed.",Safety,10
The seats were uncomfortable and cramped. I couldn't relax while I was waiting for my train.,Satisfactions,8
"The station wasn't accessible for people with disabilities. There were no ramps or lifts, and it was difficult to get around.",Maintenance,6
"There was no Wi-Fi at the station, which was inconvenient. I couldn't check my emails or browse the internet while I was waiting for my train.",Data availability,1
"The staff were rude and unhelpful. They didn't seem to care about the passengers' needs, and they made me feel unwelcome.",Handling complaints,7
"I had to wait for a long time for my train. It was frustrating, and I missed my connecting bus.",Punctuality,3
"The station was dirty and unkempt. There was trash everywhere, and the floors were sticky. It was a very unpleasant experience.",Cleanliness,2
"There wasn't enough security at the station. I felt uncomfortable walking around, and I was worried about being robbed.",Safety,10
"The station looked run down and neglected. The paint was peeling off the walls, and the floors were cracked. It wasn't very inviting.",Maintenance,6
"The train service was unreliable. My train was delayed, and there weren't any announcements or updates.",Punctuality,3
I couldn't find any customer service representatives to help me with my issue. I had to figure everything out on my own.,Handling complaints,7
"The station was filthy! There was trash everywhere, and it smelled bad. It was a very unpleasant experience.",Cleanliness,2
"As a woman, I didn't feel safe walking around the station at night. There weren't enough security guards, and I was worried about being harassed.",Safety,10
The seats were uncomfortable and cramped. I couldn't relax while I was waiting for my train.,Satisfactions,8
"The station wasn't accessible for people with disabilities. There were no ramps or lifts, and it was difficult to get around.",Maintenance,6
"There was no Wi-Fi at the station, which was inconvenient. I couldn't check my emails or browse the internet while I was waiting for my train.",Data availability,1
"The staff were rude and unhelpful. They didn't seem to care about the passengers' needs, and they made me feel unwelcome.",Handling complaints,7
"I had to wait for a long time for my train. It was frustrating, and I missed my connecting ferry.",Punctuality,3
"The station was dirty and unkempt. There was trash everywhere, and the floors were sticky. It was a very unpleasant experience.",Cleanliness,2
"There wasn't enough security at the station. I felt uncomfortable walking around, and I was worried about being robbed.",Safety,10
"The station looked run down and neglected. The paint was peeling off the walls, and the floors were cracked. It wasn't very inviting.",Maintenance,6
"The train service was unreliable. My train was delayed, and there weren't any announcements or updates.",Punctuality,3
I couldn't find any customer service representatives to help me with my issue. I had to figure everything out on my own.,Handling complaints,7
"I was worried about the safety at the station, especially at night. There weren't enough security guards and it felt a bit unsafe.",Safety,10
"The station was quite dirty, especially the toilets. It wasn't the cleanest place I've been.",Cleanliness,2
"The ticket prices were quite expensive, especially for a short journey. I think they could be more affordable.",Price,0
"I had a problem with my ticket, but the staff were unhelpful and didn't seem to care. It was a frustrating experience.",Handling complaints,7
The overall service wasn't great. The staff were unfriendly and there weren't enough facilities available.,Satisfactions,8
"The trains were often late, which made it hard to plan my journey. It wasn't very reliable.",Punctuality,3
It was difficult to find information about the train schedules and platform numbers. There weren't enough signs.,Data availability,1
"There was a minor accident at the station, and it caused a lot of disruption. It was a bit scary.",Accidents,5
"The ticket machines were confusing to use, and I had trouble understanding the payment system. It wasn't user-friendly.",User-friendly payment system,9
The floors were sticky and there was a lot of trash around. It wasn't very clean.,Cleanliness,2
I felt a bit unsafe walking through the station late at night. There weren't many people around.,Safety,10
"The staff were not very helpful, and it was hard to get information about my train. It wasn't a good experience.",Satisfactions,8
"The train was delayed, and it caused me to miss my connecting flight. It was very inconvenient.",Punctuality,3
"The station was very noisy, and it was hard to relax while waiting for my train. It was quite stressful.",Cleanliness,2
"There weren't enough seats for everyone, and I had to stand for a long time. It was uncomfortable.",Satisfactions,8
It was difficult to find information about the train schedules. There weren't many signs or staff available.,Data availability,1
"The toilets were quite dirty, and there was a bad smell. It wasn't very pleasant.",Cleanliness,2
"The ticket prices were very high, and I think they could be more affordable. It wasn't worth the cost.",Price,0
"I had trouble using the ticket machines, and the payment system was confusing. It wasn't very user-friendly.",User-friendly payment system,9
"The staff weren't friendly, and they didn't seem to be interested in helping me. It wasn't a good experience.",Satisfactions,8
The station looked old and in need of repair. The walls were peeling and the floors were cracked.,Maintenance,6
I felt a bit uneasy walking through the station at night. There weren't many security guards around.,Safety,10
"I had a problem with my ticket, but the staff weren't helpful and didn't seem to care. It was a frustrating experience.",Handling complaints,7
"The train was delayed, and it caused me to miss my meeting. It wasn't a reliable service.",Punctuality,3
It was difficult to find information about the platform numbers. There weren't enough signs or staff available.,Data availability,1
The toilets were dirty and smelled bad. It was not a pleasant experience.,Cleanliness,2
"I had trouble using the ticket machines, and the payment system was confusing. It wasn't user-friendly.",User-friendly payment system,9
"The station was very crowded, and it was difficult to move around. It was a chaotic experience.",Satisfactions,8
The station was quite dirty and smelled bad. It wasn't a very pleasant place to be.,Cleanliness,2
"The train was delayed, and it caused me to miss my meeting. It wasn't a reliable service.",Punctuality,3
It was hard to find information about the train schedules. There weren't enough signs or staff available.,Data availability,1
The toilets were dirty and didn't have proper facilities. It wasn't a pleasant experience.,Cleanliness,2
"The ticket prices were very high, and I think they could be more affordable. It wasn't worth the cost.",Price,0
"I had trouble using the ticket machines, and the payment system was confusing. It wasn't very user-friendly.",User-friendly payment system,9
"The staff were not very friendly, and it was hard to get information about my train. It wasn't a good experience.",Satisfactions,8
The station looked old and in need of repair. The walls were peeling and the floors were cracked.,Maintenance,6
I felt a bit uneasy walking through the station at night. There weren't many security guards around.,Safety,10
"I had a problem with my ticket, but the staff weren't helpful and didn't seem to care. It was a frustrating experience.",Handling complaints,7
"The train was delayed, and it caused me to miss my connecting flight. It wasn't a reliable service.",Punctuality,3
It was difficult to find information about the platform numbers. There weren't enough signs or staff available.,Data availability,1
The toilets were dirty and smelled bad. It wasn't a pleasant experience.,Cleanliness,2
"The ticket prices were very high, and I think they could be more affordable. It wasn't worth the cost.",Price,0
"I had trouble using the ticket machines, and the payment system was confusing. It wasn't very user-friendly.",User-friendly payment system,9
"The staff were not very friendly, and it was hard to get information about my train. It wasn't a good experience.",Satisfactions,8
The station looked old and in need of repair. The walls were peeling and the floors were cracked.,Maintenance,6
I felt a bit uneasy walking through the station at night. There weren't many security guards around.,Safety,10
"I had a problem with my ticket, but the staff weren't helpful and didn't seem to care. It was a frustrating experience.",Handling complaints,7
"The train was delayed, and it caused me to miss my connecting flight. It wasn't a reliable service.",Punctuality,3
It was difficult to find information about the platform numbers. There weren't enough signs or staff available.,Data availability,1
The toilets were dirty and smelled bad. It wasn't a pleasant experience.,Cleanliness,2
"The ticket prices were very high, and I think they could be more affordable. It wasn't worth the cost.",Price,0
"I had trouble using the ticket machines, and the payment system was confusing. It wasn't very user-friendly.",User-friendly payment system,9
"The staff were not very friendly, and it was hard to get information about my train. It wasn't a good experience.",Satisfactions,8
The station looked old and in need of repair. The walls were peeling and the floors were cracked.,Maintenance,6
I felt a bit uneasy walking through the station at night. There weren't many security guards around.,Safety,10
"I had a problem with my ticket, but the staff weren't helpful and didn't seem to care. It was a frustrating experience.",Handling complaints,7
"The train was delayed, and it caused me to miss my connecting flight. It wasn't a reliable service.",Punctuality,3
It was difficult to find information about the platform numbers. There weren't enough signs or staff available.,Data availability,1
The toilets were dirty and smelled bad. It wasn't a pleasant experience.,Cleanliness,2
"The ticket prices were very high, and I think they could be more affordable. It wasn't worth the cost.",Price,0
"I had trouble using the ticket machines, and the payment system was confusing. It wasn't very user-friendly.",User-friendly payment system,9
"The staff were not very friendly, and it was hard to get information about my train. It wasn't a good experience.",Satisfactions,8
The station looked old and in need of repair. The walls were peeling and the floors were cracked.,Maintenance,6
I felt a bit uneasy walking through the station at night. There weren't many security guards around.,Safety,10
"I had a problem with my ticket, but the staff weren't helpful and didn't seem to care. It was a frustrating experience.",Handling complaints,7
"The train was delayed, and it caused me to miss my connecting flight. It wasn't a reliable service.",Punctuality,3
It was difficult to find information about the platform numbers. There weren't enough signs or staff available.,Data availability,1
The toilets were dirty and smelled bad. It wasn't a pleasant experience.,Cleanliness,2
"The ticket prices were very high, and I think they could be more affordable. It wasn't worth the cost.",Price,0
"I had trouble using the ticket machines, and the payment system was confusing. It wasn't very user-friendly.",User-friendly payment system,9
"The ticket prices were incredibly high for a relatively short journey, and the trains were overcrowded and uncomfortable. I felt like I was crammed in like sardines.",Satisfactions,8
"The train was supposed to arrive at 8:00 am, but it ended up being delayed by over an hour. There was no announcement or explanation for the delay, just a lot of frustrated passengers.",Punctuality,3
The train was dirty and smelly. There were overflowing trash cans and sticky floors. It was definitely not a pleasant experience.,Cleanliness,2
"I felt unsafe on the train. There were a lot of suspicious characters hanging around, and the security seemed lax. I wouldn't recommend traveling alone.",Safety,10
"I couldn't connect to the internet at the station, which made it difficult to check my train schedule or contact anyone. The Wi-Fi signal was weak and unreliable.",Data availability,1
"The ticket machine was confusing to use, and I had trouble figuring out how to buy a ticket. The instructions weren't clear, and there was no one to help.",User-friendly payment system,9
"I had a problem with my ticket, and the staff were unhelpful. They didn't seem to care about my issue and just brushed me off. I felt ignored and frustrated.",Handling complaints,7
"The station looked run-down and neglected. The paint was peeling, the floors were dirty, and there were broken seats. It's clear that the station needs some serious maintenance.",Maintenance,6
"The seats on the train were hard and uncomfortable. There was no legroom, and the seats were too close together. I felt cramped and uncomfortable throughout the journey.",Satisfactions,8
"There were no announcements or signs indicating where to go or what train to take. I had to ask multiple people for directions, which was time-consuming and frustrating.",Data availability,1
"My train was delayed by over two hours, and then it was canceled altogether. There was no apology from the staff, and I had to scramble to find alternative transportation.",Punctuality,3
"The train was incredibly noisy. There were people talking loudly, children running around, and loud announcements. It was impossible to relax or get any work done.",Satisfactions,8
"I waited over 30 minutes for my train, and there was no indication of when it would arrive. The station was crowded and uncomfortable, making the wait even more unpleasant.",Punctuality,3
"I felt unsafe walking through the station late at night. There weren't enough security guards, and there were people hanging around looking suspicious. I wouldn't recommend traveling alone at night.",Safety,10
"The station was not wheelchair accessible. There were no ramps or elevators, making it impossible for people with disabilities to navigate.",Satisfactions,8
"The staff were rude and unhelpful. I had a question about my ticket, and they just rolled their eyes and walked away. It felt like they didn't want to help.",Handling complaints,7
"The restrooms were disgusting. They were dirty, smelly, and the toilets were overflowing. It was clear that they had not been cleaned in a while.",Cleanliness,2
"It was unbearably hot on the train. There was no air conditioning, and the windows didn't open. I felt like I was melting in the heat.",Satisfactions,8
"The platform was packed with people, making it difficult to move around. There was no space to stand, and I had to squeeze my way through the crowd.",Satisfactions,8
I couldn't find my way around the station. There were no signs indicating where to go or what train to take. I had to ask multiple people for directions.,Data availability,1
"The seats on the train were broken and uncomfortable. The cushions were ripped, and the seats were wobbly. It was a painful experience.",Maintenance,6
"I lost my wallet on the train, and there was no lost and found office at the station. I had to file a police report, which was a hassle.",Handling complaints,7
"The station was dimly lit, making it feel unsafe. The lighting was so poor that it was hard to see where I was going.",Safety,10
"There was no Wi-Fi available at the station, making it difficult to stay connected or work on the go. This is a major inconvenience in today's world.",Data availability,1
I had to wait in a long line to buy a ticket because there were no ticket vending machines. This was a waste of time and effort.,User-friendly payment system,9
"The train was packed like sardines. There was no space to stand or sit, and I had to push my way through the crowd.",Satisfactions,8
"I needed help with my luggage, but there was no staff available to assist me. I had to struggle to manage it myself.",Handling complaints,7
"The floors at the station were sticky and dirty. It was clear that they had not been cleaned in a while, making it an unpleasant experience.",Cleanliness,2
"There were no announcements about train delays or changes. I had to check the information board myself, which was confusing and frustrating.",Data availability,1
The staff at the station were unfriendly and unhelpful. They didn't seem to care about passengers and were not willing to assist with any issues.,Handling complaints,7
"There was no place to store my luggage at the station, making it difficult to explore the city without carrying my bags around.",Satisfactions,8
"The train was dirty and smelly. There were trash and food scraps on the floor, and the seats were stained. It was a very unpleasant experience.",Cleanliness,2
"There were no restrooms available at the station, making it difficult to use the facilities during a long wait.",Satisfactions,8
The signs at the station were confusing and difficult to follow. It was hard to find my way around and find my train platform.,Data availability,1
"There was very limited seating available at the station, making it difficult to find a place to sit and wait for my train. I had to stand for a long time.",Satisfactions,8
"The area around the station felt unsafe. There were a lot of homeless people and drug addicts hanging around, making me feel uncomfortable.",Safety,10
"My train was delayed several times, and there was no apology from the staff. The service was unreliable and frustrating.",Punctuality,3
"The train car was filthy. There were trash and food scraps on the floor, and the seats were stained. It was clear that it had not been cleaned properly.",Cleanliness,2
"The station staff didn't communicate well about train delays or changes. I had to find out information myself, which was frustrating.",Data availability,1
"The ticket machines at the station were out of order, making it difficult to buy tickets. I had to wait in a long line at the ticket counter.",User-friendly payment system,9
"There were very few staff members at the station, making it difficult to get assistance with any issues or questions. I felt like I was on my own.",Handling complaints,7
"There were no shops or cafes at the station, making it difficult to find food or drinks during a long wait. I had to go outside the station to find something to eat.",Satisfactions,8
"The station was not easily accessible for people with disabilities. There were no ramps or elevators, making it difficult to navigate.",Satisfactions,8
I felt unsafe walking through the station because there were not enough security guards. It felt like anyone could walk in and out without being checked.,Safety,10
"There was no Wi-Fi available at the station, which made it difficult to connect to the internet or check my email. This is a major inconvenience in today's world.",Data availability,1
There were no options for buying tickets online or using a mobile app. I had to wait in a long line at the ticket counter.,User-friendly payment system,9
The food at the station was overpriced and not very good. I felt like I was being ripped off.,Satisfactions,8
"The restrooms at the station were disgusting. They were dirty, smelly, and the toilets were overflowing.",Cleanliness,2
"There were no announcements about train delays or changes. I had to check the information board myself, which was confusing and frustrating.",Data availability,1
The staff at the station were rude and unhelpful. They didn't seem to care about passengers and were not willing to assist with any issues.,Handling complaints,7
"There was no seating available at the station, making it difficult to find a place to sit and wait for my train. I had to stand for a long time.",Satisfactions,8
"The station was not wheelchair accessible. There were no ramps or elevators, making it impossible for people with disabilities to navigate.",Satisfactions,8
"The area around the station felt unsafe. There were a lot of homeless people and drug addicts hanging around, making me feel uncomfortable.",Safety,10
I had to wait in a long line to buy a ticket because there were no ticket vending machines. This was a waste of time and effort.,User-friendly payment system,9
"The platform was packed with people, making it difficult to move around. There was no space to stand, and I had to squeeze my way through the crowd.",Satisfactions,8
"I needed help with my luggage, but there was no staff available to assist me. I had to struggle to manage it myself.",Handling complaints,7
"The floors at the station were sticky and dirty. It was clear that they had not been cleaned in a while, making it an unpleasant experience.",Cleanliness,2
"There were no announcements about train delays or changes. I had to check the information board myself, which was confusing and frustrating.",Data availability,1
The staff at the station were unfriendly and unhelpful. They didn't seem to care about passengers and were not willing to assist with any issues.,Handling complaints,7
"There was no place to store my luggage at the station, making it difficult to explore the city without carrying my bags around.",Satisfactions,8
"The train car was filthy. There were trash and food scraps on the floor, and the seats were stained. It was clear that it had not been cleaned properly.",Cleanliness,2
"There were no restrooms available at the station, making it difficult to use the facilities during a long wait.",Satisfactions,8
The signs at the station were confusing and difficult to follow. It was hard to find my way around and find my train platform.,Data availability,1
"There was very limited seating available at the station, making it difficult to find a place to sit and wait for my train. I had to stand for a long time.",Satisfactions,8
"The area around the station felt unsafe. There were a lot of homeless people and drug addicts hanging around, making me feel uncomfortable.",Safety,10
"My train was delayed several times, and there was no apology from the staff. The service was unreliable and frustrating.",Punctuality,3
"The train car was filthy. There were trash and food scraps on the floor, and the seats were stained. It was clear that it had not been cleaned properly.",Cleanliness,2
"The station staff didn't communicate well about train delays or changes. I had to find out information myself, which was frustrating.",Data availability,1
"The ticket machines at the station were out of order, making it difficult to buy tickets. I had to wait in a long line at the ticket counter.",User-friendly payment system,9
"There were very few staff members at the station, making it difficult to get assistance with any issues or questions. I felt like I was on my own.",Handling complaints,7
"There were no shops or cafes at the station, making it difficult to find food or drinks during a long wait. I had to go outside the station to find something to eat.",Satisfactions,8
"The station was not easily accessible for people with disabilities. There were no ramps or elevators, making it difficult to navigate.",Satisfactions,8
I felt unsafe walking through the station because there were not enough security guards. It felt like anyone could walk in and out without being checked.,Safety,10
"There was no Wi-Fi available at the station, which made it difficult to connect to the internet or check my email. This is a major inconvenience in today's world.",Data availability,1
There were no options for buying tickets online or using a mobile app. I had to wait in a long line at the ticket counter.,User-friendly payment system,9
The food at the station was overpriced and not very good. I felt like I was being ripped off.,Satisfactions,8
"The restrooms at the station were disgusting. They were dirty, smelly, and the toilets were overflowing.",Cleanliness,2
"There were no announcements about train delays or changes. I had to check the information board myself, which was confusing and frustrating.",Data availability,1
The staff at the station were rude and unhelpful. They didn't seem to care about passengers and were not willing to assist with any issues.,Handling complaints,7
"There was no seating available at the station, making it difficult to find a place to sit and wait for my train. I had to stand for a long time.",Satisfactions,8
"The station was not wheelchair accessible. There were no ramps or elevators, making it impossible for people with disabilities to navigate.",Satisfactions,8
"The area around the station felt unsafe. There were a lot of homeless people and drug addicts hanging around, making me feel uncomfortable.",Safety,10
"The trains were extremely crowded, and there was little space to move around. It was a very uncomfortable journey.",Satisfactions,8
"The station was filthy, with trash everywhere. It also smelled unpleasant. I wouldn't recommend this station to anyone.",Cleanliness,2
"I asked for directions in English, and the staff didn't understand me. They weren't helpful at all.",User-friendly payment system,9
"I had trouble understanding how to buy a ticket. The signs were confusing, and there wasn't much assistance available.",Data availability,1
"The train tickets were much more expensive than I expected. For the quality of the service, it's not worth the price.",Price,0
"I felt unsafe at the station. There were groups of people hanging around who looked suspicious, and it didn't feel secure.",Safety,10
"The escalator was out of order, and I had to carry my heavy luggage up the stairs. It was a hassle.",Maintenance,6
There were a lot of noisy and disruptive passengers on the train. It was hard to relax or get any work done.,Satisfactions,8
My luggage was lost during the journey. The station staff were unhelpful and didn't provide any assistance in finding it.,Handling complaints,7
The toilets were disgusting and not well-maintained. It was clear they hadn't been cleaned in a while.,Cleanliness,2
There weren't clear announcements or signs about the train schedule and platform changes. It was confusing and frustrating.,Data availability,1
The staff members were unfriendly and unhelpful. They didn't seem to care about the passengers' needs.,Handling complaints,7
"There weren't enough seats available on the train. I had to stand for a long time, which was uncomfortable.",Satisfactions,8
"The train was incredibly noisy, making it impossible to relax or sleep. I couldn't wait to get off.",Satisfactions,8
"The air conditioning on the train wasn't working, and it was unbearably hot. I was sweating the whole journey.",Maintenance,6
"The station layout was confusing, and it was hard to find my way around. It felt chaotic and disorganized.",Data availability,1
"The platform was dimly lit, which made it difficult to see and feel safe. It was an unpleasant experience.",Safety,10
The station lacked basic amenities like clean restrooms and drinking water fountains. It was inconvenient.,Cleanliness,2
The floors in the station were covered in dirt and debris. It was unpleasant to walk around.,Cleanliness,2
There were long queues at the ticket booths and for security checks. It took a long time to get through.,Satisfactions,8
The staff members were rude and unhelpful. They didn't seem to care about the passengers' concerns.,Handling complaints,7
"It was difficult to find my way around the station, and there weren't clear signs. It was frustrating.",Data availability,1
The announcements were very loud and unclear. It was difficult to understand what they were saying.,Data availability,1
"I didn't feel safe at the station. There weren't enough security guards, and there was a lack of security measures.",Safety,10
"The seats on the train were uncomfortable and worn out. It was a long journey, and I was sore by the end.",Satisfactions,8
"The food options at the station were limited and overpriced. There weren't many choices, and the quality was average.",Satisfactions,8
There weren't any restrooms available at the station. It was inconvenient for a long journey.,Cleanliness,2
"The platform was extremely crowded, making it difficult to board the train. It was a stressful experience.",Satisfactions,8
"The ticket machines were constantly out of order, forcing me to wait in long queues at the ticket booths.",Maintenance,6
"The station was in need of repair and maintenance. The paint was chipped, and the floors were cracked.",Maintenance,6
The signs at the station were confusing and hard to understand. It was difficult to find my way around.,Data availability,1
"There wasn't any luggage storage available at the station. I had to carry my luggage around with me, which was inconvenient.",Satisfactions,8
"The station wasn't accessible for people with disabilities. There were no ramps or elevators, making it difficult to navigate.",Maintenance,6
There wasn't enough communication about delays or changes in the train schedule. It was frustrating and inconvenient.,Data availability,1
The seats on the train were dirty and stained. It was uncomfortable to sit on them.,Cleanliness,2
"The train didn't have air conditioning, and it was very hot inside. It was uncomfortable to travel on.",Maintenance,6
The ticket inspectors were rude and aggressive. They didn't seem to care about the passengers.,Handling complaints,7
There wasn't enough information available about the train routes and schedules. It was difficult to plan my journey.,Data availability,1
"The train was extremely crowded, and I couldn't find a seat. It was a very uncomfortable journey.",Satisfactions,8
"There weren't enough security guards at the station, and I didn't feel safe. It was a concern.",Safety,10
"The station was dirty and poorly maintained. The floors were covered in trash, and there was a foul odor.",Cleanliness,2
The staff at the station were unhelpful and didn't provide any assistance. It was frustrating.,Handling complaints,7
The ticket system was confusing and difficult to navigate. It was hard to buy the right ticket.,Data availability,1
"The station was very noisy, making it hard to relax or concentrate. It was a stressful environment.",Satisfactions,8
The train ride was uncomfortable due to the lack of legroom and the noisy passengers.,Satisfactions,8
"There weren't enough information boards at the station, making it difficult to find train times and platform numbers.",Data availability,1
"The escalators were frequently out of order, forcing me to take the stairs. It was inconvenient.",Maintenance,6
The customer service at the station was terrible. The staff were rude and unhelpful.,Handling complaints,7
"There wasn't enough space for luggage on the train. I had to carry my bags with me, which was uncomfortable.",Satisfactions,8
The toilets at the station were dirty and unsanitary. They weren't well-maintained.,Cleanliness,2
"There were no seats available on the train, and I had to stand for the entire journey. It was very uncomfortable.",Satisfactions,8
"I felt unsafe at the station, as there weren't enough security guards or cameras. It was a concern.",Safety,10
"The trains were poorly maintained, with broken seats and dirty windows. It was a disappointing experience.",Maintenance,6
"There were limited payment options available at the station, making it difficult to buy tickets.",User-friendly payment system,9
"The passengers on the train were very noisy and disruptive, making it impossible to relax or sleep.",Satisfactions,8
The platform was dirty and littered with trash. It was an unpleasant environment to wait for the train.,Cleanliness,2
I couldn't find anyone to help me with my luggage or answer my questions. It was frustrating.,Handling complaints,7
"The seats on the train were very uncomfortable, and I couldn't relax during the journey.",Satisfactions,8
There were no signs to direct passengers to the correct platforms or train times. It was confusing and frustrating.,Data availability,1
"The station lacked basic amenities, such as restrooms and water fountains. It was inconvenient for a long journey.",Cleanliness,2
"The train was extremely noisy, making it difficult to relax or sleep. It was a very uncomfortable journey.",Satisfactions,8
The floors in the station were dirty and covered in trash. It was unpleasant to walk around.,Cleanliness,2
There wasn't enough information available about the train routes and schedules. It was difficult to plan my journey.,Data availability,1
The staff members were unfriendly and unhelpful. They didn't seem to care about the passengers' concerns.,Handling complaints,7
"The station was an unpleasant environment to wait for the train, due to the noise and lack of cleanliness.",Satisfactions,8
"There wasn't any luggage storage available at the station. I had to carry my luggage around with me, which was inconvenient.",Satisfactions,8
"The platform was dimly lit, which made it difficult to see and feel safe. It was an unpleasant experience.",Safety,10
The announcements were very loud and unclear. It was difficult to understand what they were saying.,Data availability,1
"The food options at the station were limited and overpriced. There weren't many choices, and the quality was average.",Satisfactions,8
"The station layout was confusing, and it was hard to find my way around. It felt chaotic and disorganized.",Data availability,1
There weren't any restrooms available at the station. It was inconvenient for a long journey.,Cleanliness,2
